"Lizenzliste: Wiley DEAL VP [EZB-WILEY-01713]"			 			 			 			 			 	
"Datum: 05.05.2020 um 15:30 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
1810	"Advances in Polymer Technology (1981-2018)"	"Wiley"	"Chemie und Pharmazie;Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"1098-2329"	"0730-6679"	"2014633-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1810"	"https://onlinelibrary.wiley.com/journal/10982329"	1996	15		2018	37			"Polymerforschung"
252609	"AEM Education and Training"	"Wiley"	"Medizin"	"2472-5390"	"2472-5390"	"2881270-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=252609"	"https://onlinelibrary.wiley.com/journal/24725390"	2017	1						"Medizinische Ausbildung"
7318	"Africa Research Bulletin : Economic, Financial and Technical Series"	"Wiley-Blackwell - SSH"	"Wirtschaftswissenschaften"	"1467-6346"	"0001-9852"	"2009211-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=7318"	"https://onlinelibrary.wiley.com/journal/14676346"	1997	34						"Wirtschaftsbericht: Afrika"
5531	"Africa Research Bulletin : Political, Social and Cultural Series"	"Wiley-Blackwell - SSH"	"Politologie"	"1467-825X"	"0001-9844"	"1501318-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=5531"	"https://onlinelibrary.wiley.com/journal/1467825X"	1997	34						"Länderbericht Afrika"
9981	"African Development Review"	"Wiley-Blackwell - SSH"	"Politologie;Soziologie"	"1467-8268"	"1017-6772"	"2008966-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=9981"	"https://onlinelibrary.wiley.com/journal/14678268"	1997	9						"Entwicklungszusammenarbeit;Länderbericht Afrika"
5586	"African Journal of Ecology"	"Wiley-Blackwell - STM "	"Biologie"	"1365-2028"	"0070-8038;0141-6707"	"2019879-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=5586"	"https://onlinelibrary.wiley.com/journal/13652028"	1997	35						"Regionale Ökologie Afrika"
1814	"Aggressive Behavior"	"Wiley-Blackwell - STM "	"Psychologie"	"1098-2337"	"0096-140X"	"1501704-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1814"	"https://onlinelibrary.wiley.com/journal/10982337"	1996	22						"Verhaltenspsychologie"
4935	"Agribusiness"	"Wiley-Blackwell - SSH"	"Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung;Wirtschaftswissenschaften"	"1520-6297"	"0742-4477"	"2001211-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=4935"	"https://onlinelibrary.wiley.com/journal/15206297"	1996	12						"Agrarökonomie"
5327	"Agricultural and Forest Entomology"	"Wiley-Blackwell - STM "	"Biologie;Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung"	"1461-9563"	"1461-9555"	"2016391-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=5327"	"https://onlinelibrary.wiley.com/journal/14619563"	1999	1						"Entomologie"
52470	"Agricultural Economics (2000-)"	"Wiley-Blackwell - SSH"	"Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung;Wirtschaftswissenschaften"	"1574-0862"	"0169-5150"	"1499675-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=52470"	"https://onlinelibrary.wiley.com/journal/15740862"	2000	22						"Agrarökonomie"
