publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
Advances in Methods and Practices in Psychological Science	2515-2459	2515-2467	2018	1					http://journals.sagepub.com/home/amp		314384		Volltext		Sage Publishing	sage_premier	2515-2459;2515-2467	2904847-3
Aesthetic Surgery Journal 	1090-820X	1527-330X	1995	15		2014	34		https://academic.oup.com/asj/issue		10458		Volltext		Oxford University Press ; formerly Elsevier	sage_premier	1090-820X;1527-330X	2048788-5
Affilia : Journal of Women & Social Work	0886-1099	1552-3020	1986	1					http://journals.sagepub.com/home/aff		15258		Volltext		Sage Publications	sage_premier	0886-1099;1552-3020	2057706-0
Agrarian South	2277-9760	2321-0281	2012	1					http://journals.sagepub.com/home/ags		188218		Volltext		Sage Publications	sage_premier	2277-9760;2321-0281	2681600-3
Alternatives: Global, Local, Political	0304-3754	2163-3150	1976	1					http://journals.sagepub.com/home/alt		53477		Volltext		Sage Publications	sage_premier	0304-3754;2163-3150	2095241-7
American Behavioral Scientist	0002-7642	1552-3381	1957	1	1				http://journals.sagepub.com/home/abs		5986		Volltext		Sage Publications	sage_premier	0002-7642;1552-3381	1499983-3
American Educational Research Journal	0002-8312	1935-1011	1964	1					http://journals.sagepub.com/home/aer		88395		Volltext		Sage Publications	sage_premier	0002-8312;1935-1011	2143269-7
American Journal of Alzheimer's Disease and other Dementias	0895-5336	1533-3175	1986	1					http://journals.sagepub.com/home/aja		66896		Volltext		Sage Publications	sage_premier	0895-5336;1082-5207;1533-3175;1938-2731	2235173-5
American Journal of Evaluation	0191-8036	1557-0878	1981	2					http://journals.sagepub.com/home/aje		53138		Volltext		Sage Publications	sage_premier	0191-8036;0886-1633;1098-2140;1557-0878	2020738-4
American Journal of Hospice and Palliative Medicine (American Journal of Hospice & Palliative Care)	1049-9091	1938-2715	1984	1					http://journals.sagepub.com/home/ajh		67169		Volltext		Sage Publications	sage_premier	1049-9091;1938-2715	2236674-X
American Journal of Lifestyle Medicine	1559-8276	1559-8284	2007	1					http://journals.sagepub.com/home/ajl		86900		Volltext		Sage Publications	sage_premier	1559-8276;1559-8284	2265653-4
American Journal of Medical Quality	1062-8606	1555-824X	1986	1					http://journals.sagepub.com/home/ajm		53290		Volltext		Sage Publications	sage_premier	1062-8606;1555-824X	2181248-2
American Journal of Sports Medicine, The	0090-4201	1552-3365	1972	1					http://journals.sagepub.com/home/ajs		7200		Volltext		Sage Publications ; HighWire Press ; American Orthopaedic Society for Sports Medicine	sage_premier	0090-4201;0363-5465;1552-3365	2063945-4
American Politics Research	0044-7803	1552-3373	1973	1					http://journals.sagepub.com/home/apr		7574		Volltext		Sage Publications	sage_premier	0044-7803;1532-673X;1552-3373	2095947-3
American Review of Public Administration, The	0026-346x	1552-3357	1967	1					http://journals.sagepub.com/home/arp		8214		Volltext		Sage Publications	sage_premier	0026-346x;0275-0740;1552-3357	2020820-0
American Sociological Review 	0003-1224	1939-8271	2004	69					http://journals.sagepub.com/home/asr		40245		Volltext		American Sociological Association ; Sage Publications	sage_premier	0003-1224;1939-8271	2010058-9
