"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für molekulare Genetik, Bibliothek"	"MOLGE"	"DE-B787"
"Max-Planck-Institut für Sonnensystemforschung, Bibliothek"	"MPAE"	"DE-Lin1b"
"Astrobibliothek, Max-Planck-Institut für Astrophysik; Institute für Astrophysik und für extraterrestrische Physik"	"MPAEP"	"DE-B161a"
"Max-Planck-Institut zur Erforschung von Kriminalität, Sicherheit und Recht, Bibliothek"	"MPAI"	"DE-Frei85"
"Max-Planck-Institut für Ornithologie, Bibliothek"	"MPFO"	"DE-Star1"
"Max-Planck-Institut für Psychiatrie, Deutsche Forschungsanstalt für Psychiatrie, Bibliothek"	"MPGPS"	"DE-M68"
"Max-Planck-Institut für empirische Ästhetik, Bibliothek"	"MPIAE"	"DE-2177"
"Max-Planck-Institut für Astronomie, Bibliothek"	"MPIAS"	"DE-He81"
"Bibliothek der Max-Planck-Institute Martinsried"	"MPIBC"	"DE-M411"
"Max-Planck-Institut für Bildungsforschung, Bibliothek und wissenschaftliche Information"	"MPIBF"	"DE-B1532"
"Otto-Hahn-Bibliothek des Max-Planck-Instituts für biophysikalische Chemie"	"MPIBP"	"DE-Goe116"
"Max-Planck-Institut für Chemie, Bibliothek"	"MPICH"	"DE-Mz4"
"Max-Planck-Institut für Dynamik Komplexer Technischer Systeme, Bibliothek"	"MPIDS"	"DE-Ma54"
"Max-Planck-Institut für Eisenforschung GmbH, Bibliothek"	"MPIE"	"DE-Due57"
"Max-Planck-Institut für evolutionäre Anthropologie, Bibliothek"	"MPIEA"	"DE-L321"
"Max-Planck-Institut für ethnologische Forschung, Bibliothek"	"MPIEF"	"DE-Ha163"
"Max-Planck-Institut für experimentelle Medizin, Karl-Thomas-Bibliothek"	"MPIEM"	"DE-Goe134"
"Max-Planck-Institut für europäische Rechtsgeschichte, Bibliothek"	"MPIER"	"DE-F137"
"Max-Planck-Institut für Menschheitsgeschichte, Bibliothek"	"MPIEW"	"DE-J152"
"Max-Planck-Institut für Gesellschaftsforschung, Bibliothek"	"MPIFG"	"DE-Kn188"
"Max-Planck-Institut für Radioastronomie, Bibliothek"	"MPIFR"	"DE-Bo146"
"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Bibliothek"	"MPIG"	"DE-Goe164"
"Max-Planck-Institut für Informatik, Campusbibliothek für Informatik und Mathematik"	"MPII"	"DE-Sa18"
"Max-Planck-Institut für Immunbiologie, Bibliothek"	"MPIIM"	"DE-Frei106"
"Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Bibliothek"	"MPIKG"	"DE-Po81"
"Max-Planck-Institut für Kernphysik, Bibliothek"	"MPIKP"	"DE-He74"
"Max-Planck-Institut für Evolutionsbiologie, Bibliothek"	"MPIL"	"DE-Pn1"
"Max-Planck-Institut für Mathematik, Bibliothek"	"MPIMA"	"DE-Bo206"
"Max-Planck-Institut für medizinische Forschung, Bibliothek"	"MPIMF"	"DE-He43"
