publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
Psychotherapy and Psychosomatics (formerly: Acta Psychotherapeutica et Psychosomatica; Acta Psychotherapeutica, Psychosomatica et Orthopaedagogica)	0033-3190	1423-0348	1998	67					http://www.karger.com/pps		2312		Volltext		Karger	karger_complete	0033-3190;0365-5822;1423-0348	1472321-9
Public Health Genomics	1422-2795	1422-2833	1998	1					http://www.karger.com/PHG		110171		Volltext		Karger	karger_complete	1422-2795;1662-4246;1422-2833;1662-8063	2457026-6
Pulse 	2235-8676	2235-8668	2013	1					http://www.karger.com/PLS		195611		Volltext		Karger	karger_complete	2235-8676;2235-8668	2707138-8
Respiration : International Journal of Thoracic Diseases (früher: Schweizerische Zeitschrift für Tuberkulose (und Pneumologie); Medicina thoracalis)	0025-7931	1423-0356	1998	65					https://www.karger.com/Journal/Home/224278		2310		Volltext		Karger	karger_complete	0025-7931;0368-9220;1423-0356	1464419-8
Sexual Development	1661-5425	1661-5433	2007	1					http://www.karger.com/SXD		85085		Volltext		Karger	karger_complete	1661-5425;1661-5433	2261528-3
Skin Appendage Disorders 	2296-9195	2296-9160	2015	1					http://www.karger.com/SAD		227749		Volltext		Karger	karger_complete	2296-9195;2296-9160	2806972-9
Skin Pharmacology and Physiology (Formerly Skin Pharmacology and Applied Skin Physiology; Skin Pharmacology)	1011-0283	1422-2906	1998	11					http://www.karger.com/spp		3052		Volltext		Karger	karger_complete	1011-0283;1422-2868;1660-5527;1422-2906;1660-5535	1483572-1
Stereotactic and Functional Neurosurgery (formerly: Applied Neurophysiology; Confinia Neurologica)	0010-5678	1423-0372	1998	70					http://www.karger.com/sfn		3923		Volltext		Karger	karger_complete	0010-5678;0379-2676;1011-6125;1423-0372	1483576-9
Transfusion Medicine and Hemotherapy 	0378-0791	1660-3818	1998	25					http://www.karger.com/tmh		33234		Volltext		Karger	karger_complete	0378-0791;1011-6966;1019-8466;1660-3796;1660-3818	2100533-3
Tumor Biology (1987-2009)	1010-4283	1423-0380	1998	19		2009	30		http://www.karger.com/tbi		3053		Volltext		Karger	karger_complete	1010-4283;1423-0380	1483579-4
Urologia Internationalis	0042-1138	1423-0399	1998	60					http://www.karger.com/uin		2311		Volltext		Karger	karger_complete	0042-1138;1423-0399	1464417-4
Verhaltenstherapie : Praxis, Forschung, Perspektiven	1016-6262	1423-0402	1998	8					http://www.karger.com/ver		3054		Volltext		Karger	karger_complete	1016-6262;1423-0402	1483583-6
Visceral Medicine	0177-9990	1421-9808	1998	14					http://www.karger.com/cga		3894		Volltext		Karger	karger_complete	0177-9990;1662-6664;2297-4725;1421-9808;1662-6672;2297-475X	2850734-4
Vox Sanguinis	0042-9007	1423-0410	1998	74		2000	79		http://www.karger.com/vox		10159		Volltext		Wiley-Blackwell - STM ; formerly Karger	karger_complete	0042-9007;1423-0410	1483587-3
