"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für Gravitationsphysik, Golm"	"AEI"	"DE-Po62"
"Max-Planck-Institut für Herz- und Lungenforschung, W.G. Kerckhoff-Institut, Bad Nauheim"	"MPIPK"	"DE-Nau1"
"Max-Planck-Institut für Immunbiologie Freiburg"	"MPIIM"	"DE-Frei106"
"Max-Planck-Institut für Infektionsbiologie"	"MPIIB"	""
"Max-Planck-Institut für Informatik Saarbrücken Max Planck Institute for Software Systems Kaiserslautern/Saarbrücken"	"MPII"	"DE-Sa18"
"Max-Planck-Institut für Kernphysik, Heidelberg"	"MPIKP"	"DE-He74"
"Max-Planck-Institut für Kognitions- und Neurowissenschaften, Leipzig"	"MPINF"	"DE-L322"
"Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Golm"	"MPIKG"	"DE-Po81"
"Max-Planck-Institut für marine Mikrobiologie, Bremen"	"MPIMM"	"DE-Bre11"
"Max-Planck-Institut für Mathematik, Bonn"	"MPIMA"	"DE-Bo206"
"Max-Planck-Institut für Mathematik in den Naturwissenschaften, Leipzig"	"MPIMN"	"DE-L323"
"Max-Planck-Institut für medizinische Forschung, Heidelberg"	"MPIMF"	"DE-He43"
"Max-Planck-Institut für  Menschheitsgeschichte, Jena"	"MPIEW"	"DE-J152"
"Max-Planck-Institut für Meteorologie, Hamburg"	"MPIM"	""
"Max-Planck-Institut für Mikrostrukturphysik, Halle"	"MPIMS"	"DE-Ha94"
"Max-Planck-Institut für molekulare Genetik, Berlin"	"MOLGE"	"DE-B787"
"Max-Planck-Institut für molekulare Pflanzenphysiologie, Golm"	"MPIMP"	"DE-Po80"
"Max-Planck-Institut für molekulare Physiologie, Dortmund"	"EZBDO"	"DE-Dm1"
"Max-Planck-Institut für Molekulare Zellbiologie und Genetik, Dresden"	"CBG"	"DE-D267"
"Max-Planck-Institut für Ornithologie, Seewiesen"	"MPFO"	"DE-Star1"
"Max-Planck-Institut für Physik komplexer Systeme, Dresden"	"PKS"	"DE-D206"
"Max-Planck-Institut für Plasmaphysik"	"MPIPP"	"DE-M359"
"Max-Planck-Institut für Polymerforschung, Mainz"	"MPIP"	"DE-Mz116"
"Max-Planck-Institut für Psychiatrie"	"MPGPS"	"DE-M68"
"Max-Planck-Institut für Psycholinguistik, Nijmegen"	"MPIPL"	"DE-Y4"
"Max-Planck-Institut für Quantenoptik, Garching"	"MPQUA"	"DE-M484"
"Max-Planck-Institut für Radioastronomie, Bonn"	"MPIFR"	"DE-Bo146"
"Max-Planck-Institut für Sonnensystemforschung, Göttingen"	"MPAE"	"DE-Lin1b"
"Max-Planck-Institut für Sozialrecht und Sozialpolitik, München"	"MPISR"	"DE-M477"
"Max-Planck-Institut für terrestrische Mikrobiologie, Marburg"	"MPITM"	""
"Max-Planck-Institut für Wissenschaftsgeschichte, Berlin"	"MPIWG"	"DE-B2226"
"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften"	"MPIG"	"DE-Goe164"
"Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Bonn"	"MPPRG"	"DE-Bo407"
"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel"	"BFEL"	""
"Medienzentrum der Hochschule Darmstadt"	"FHDA"	"DE-Ds114"
"Medizinische Bibliothek der Charité"	"MBCB"	"DE-578-e"
"MHH-Bibliothek / Medizinische Hochschule Hannover"	"MHH"	"DE-354"
"Niedersächsische Staats- und Universitätsbibliothek Göttingen"	"SUBGO"	"DE-7"
"NTNM-Bibliothek - Leibniz Institut für Neue Materialien gGmbH"	"INM"	"DE-291-415"
"Orient-Institut Istanbul"	"ORI"	""
"Pädagogische Hochschulbibliothek Ludwigsburg"	"PHLB"	"DE-Lg1"
