Bundesanstalt für Materialforschung und -prüfung (BAM)	Bundesanstalt fu.r Materialpru.fung
Bundesamt für Seeschifffahrt und Hydrographie / Bibliothek	Bundesamt fu.r Seeschifffahrt und Hydrographie
Bundesamt für Seeschifffahrt und Hydrographie / Bibliothek	Bundesamt fu.r Seeschifffahrt und Hydrographie. Aussenstelle Rostock
Bundesamt für Seeschifffahrt und Hydrographie / Bibliothek	Bundesamt fu.r Seeschiffahrt und Hydrographie
Bundesamt für Strahlenschutz	Bundesamt fu.r Strahlenschutz
Bundesinstitut für Berufsbildung, Bibliothek, Bonn / Informationsverbund Berlin-Bonn (IVBB)	Bundesinstitut fu.r Berufsausbildung
Bundesinstitut für Risikobewertung	Bundesinstitut fu.r Risikobewertung
Caritas-Bibliothek Freiburg	Caritas Fribourg
Caritas-Bibliothek Freiburg	Caritasverband Freiburg im Breisgau
Commerzbibliothek der Handelskammer Hamburg	Handelskammer Hamburg
DBFZ Deutsches Biomasseforschungszentrum gemeinnützige GmbH	Deutsches BiomasseForschungsZentrum
DESY-Bibliotheken Hamburg/Zeuthen	Deutsches Elektronen-Synchrotron
Deutsche Bundesbank - Bibliothek der Zentrale - Frankfurt am Main	Deutsche Bundesbank
Deutsche Hochschule der Polizei, Münster	Deutsche Hochschule der Polizei
Deutsche Meteorologische Bibliothek, Offenbach am Main	Deutscher Wetterdienst
Deutsches Herzzentrum Berlin	Deutsches Herzzentrum
Deutsches Historisches Institut London	Deutsches Historisches Institut London
Deutsches Historisches Institut Paris	Deutsches Historisches Institut Paris
Deutsches Historisches Institut Warschau	Deutsches Historisches Institut Warschau
Deutsches Historisches Institut Washington	Deutsches Historisches Institut Washington DC
Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke	Deutsches Institut fu.r Erna.hrungsforschung Potsdam-Rehbru.cke
Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke	Deutsches Institut fu.r Erna.hrungsforschun
Deutsches Institut für Japanstudien, Bibliothek	Deutsches Institut fu.r Japanstudien
Deutsches Institut für Menschenrechte - Bibliothek	Deutsches Institut fu.r Menschenrechte
Deutsches Institut für Wirtschaftsforschung Berlin	Deutsches Institut fu.r Wirtschaftsforschung
Deutsches Institut für Wirtschaftsforschung Berlin	DIW Deutsches Institut fu.r Wirtschaftsforschung, Berlin
Deutsches Literaturarchiv Marbach	Deutsches Literaturarchiv Marbach
Deutsches Patent- und Markenamt / Bibliothek, München	Patent- und Markenamt
Deutsches Rheuma-Forschungszentrum. Ein Institut der Leibniz-Gemeinschaft	Deutsches Rheuma-Forschungszentrum
Deutsches Zentrum für Altersfragen, Bibliothek, Berlin	Deutsches Zentrum fu.r Altersfragen
Deutsches Zentrum für Neurodegenerative Erkrankungen	Deutsches Zentrum fu.r Neurodegenerative Erkrankungen
Deutsch-Französisches Institut Ludwigsburg	Deutsch-Franzo.sisches Institut
