"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für Bildungsforschung, Berlin"	"MPIBF"	"DE-B1532"
"Max-Planck-Institut für biophysikalische Chemie, Göttingen"	"MPIBP"	"DE-Goe116"
"Max-Planck-Institut für Chemie, Mainz"	"MPICH"	"DE-Mz4"
"Max-Planck-Institut für Chemische Physik fester Stoffe, Dresden"	"CPFS"	"DE-D210"
"Max-Planck-Institut für demographische Forschung, Rostock"	"MPIDF"	""
"Max-Planck-Institut für Dynamik komplexer technischer Systeme, Magdeburg"	"MPIDS"	"DE-Ma54"
"Max-Planck-Institut für Dynamik und Selbstorganisation, Göttingen"	"MPISF"	""
"Max-Planck-Institut für Eisenforschung"	"MPIE"	"DE-Due57"
"Max-Planck-Institut für empirische Ästhetik"	"MPIAE"	"DE-2177"
"Max-Planck-Institut für Ethnologische Forschung, Halle"	"MPIEF"	"DE-Ha163"
"Max-Planck-Institut für europäische Rechtsgeschichte, Frankfurt/Main"	"MPIER"	"DE-F137"
"Max-Planck-Institut für evolutionäre Anthropologie, Leipzig"	"MPIEA"	"DE-L321"
"Max-Planck-Institut für Evolutionsbiologie, Plön"	"MPIL"	"DE-Pn1"
"Max-Planck-Institut für experimentelle Medizin, Göttingen"	"MPIEM"	"DE-Goe134"
"Max-Planck-Institut für Gesellschaftsforschung, Köln"	"MPIFG"	"DE-Kn188"
"Max-Planck-Institut für Gravitationsphysik, Golm"	"AEI"	"DE-Po62"
"Max-Planck-Institut für Herz- und Lungenforschung, W.G. Kerckhoff-Institut, Bad Nauheim"	"MPIPK"	"DE-Nau1"
"Max-Planck-Institut für Immunbiologie Freiburg"	"MPIIM"	"DE-Frei106"
"Max-Planck-Institut für Infektionsbiologie"	"MPIIB"	""
"Max-Planck-Institut für Informatik Saarbrücken Max Planck Institute for Software Systems Kaiserslautern/Saarbrücken"	"MPII"	"DE-Sa18"
"Max-Planck-Institut für Kernphysik, Heidelberg"	"MPIKP"	"DE-He74"
"Max-Planck-Institut für Kognitions- und Neurowissenschaften, Leipzig"	"MPINF"	"DE-L322"
"Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Golm"	"MPIKG"	"DE-Po81"
"Max-Planck-Institut für marine Mikrobiologie, Bremen"	"MPIMM"	"DE-Bre11"
"Max-Planck-Institut für Mathematik, Bonn"	"MPIMA"	"DE-Bo206"
"Max-Planck-Institut für Mathematik in den Naturwissenschaften, Leipzig"	"MPIMN"	"DE-L323"
"Max-Planck-Institut für medizinische Forschung, Heidelberg"	"MPIMF"	"DE-He43"
"Max-Planck-Institut für  Menschheitsgeschichte, Jena"	"MPIEW"	"DE-J152"
"Max-Planck-Institut für Meteorologie, Hamburg"	"MPIM"	""
"Max-Planck-Institut für Mikrostrukturphysik, Halle"	"MPIMS"	"DE-Ha94"
"Max-Planck-Institut für molekulare Genetik, Berlin"	"MOLGE"	"DE-B787"
"Max-Planck-Institut für molekulare Pflanzenphysiologie, Golm"	"MPIMP"	"DE-Po80"
"Max-Planck-Institut für molekulare Physiologie, Dortmund"	"EZBDO"	"DE-Dm1"
"Max-Planck-Institut für Molekulare Zellbiologie und Genetik, Dresden"	"CBG"	"DE-D267"
"Max-Planck-Institut für Ornithologie, Seewiesen"	"MPFO"	"DE-Star1"
"Max-Planck-Institut für Physik komplexer Systeme, Dresden"	"PKS"	"DE-D206"
