"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für marine Mikrobiologie, Bremen"	"MPIMM"	"DE-Bre11"
"Max-Planck-Institut für Mathematik in den Naturwissenschaften, Leipzig"	"MPIMN"	"DE-L323"
"Max-Planck-Institut für molekulare Pflanzenphysiologie, Golm"	"MPIMP"	"DE-Po80"
"Max-Planck-Institut für Mikrostrukturphysik, Halle"	"MPIMS"	"DE-Ha94"
"Max-Planck-Institut für Kognitions- und Neurowissenschaften, Leipzig"	"MPINF"	"DE-L322"
"Max-Planck-Institut für Polymerforschung, Mainz"	"MPIP"	"DE-Mz116"
"Max-Planck-Institut für Herz- und Lungenforschung, W.G. Kerckhoff-Institut, Bad Nauheim"	"MPIPK"	"DE-Nau1"
"Max-Planck-Institut für Psycholinguistik, Nijmegen"	"MPIPL"	"DE-Y4"
"Max-Planck-Institut für Plasmaphysik"	"MPIPP"	"DE-M359"
"Max-Planck-Institut für ausländisches und internationales Privatrecht, Hamburg"	"MPIPR"	"DE-B212"
"Max-Planck-Institute Stuttgart"	"MPIS"	"DE-Stg113"
"Max-Planck-Institut für Dynamik und Selbstorganisation, Göttingen"	"MPISF"	""
"Max-Planck-Institut für Sozialrecht und Sozialpolitik, München"	"MPISR"	"DE-M477"
"Max-Planck-Institut für Chemische Energiekonversion, Mülheim"	"MPIST"	""
