ISIL	EZB-Id	City	Name	Stocksize
DE-974         	FHGF	Gießen	THM Hochschulbibliothek	100001-300000
DE-Gla1        	BAG	Glauchau	Bibliothek der Staatlichen Studienakademie Glauchau, BA Sachsen	10001-30000
DE-Po62        	AEI	Golm	Max-Planck-Institut für Gravitationsphysik, Golm	5001-10000
DE-Po81        	MPIKG	Golm	Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Golm	5001-10000
DE-Po80        	MPIMP	Golm	Max-Planck-Institut für molekulare Pflanzenphysiologie, Golm	10001-30000
DE-Goe116      	MPIBP	Göttingen	Max-Planck-Institut für biophysikalische Chemie, Göttingen	100001-300000
               	MPISF	Göttingen	Max-Planck-Institut für Dynamik und Selbstorganisation, Göttingen	n/a
DE-Goe134      	MPIEM	Göttingen	Max-Planck-Institut für experimentelle Medizin, Göttingen	30001-100000
DE-Lin1b       	MPAE	Göttingen	Max-Planck-Institut für Sonnensystemforschung, Göttingen	10001-30000
DE-Goe164      	MPIG	Göttingen	Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften	100001-300000
DE-7           	SUBGO	Göttingen	Niedersächsische Staats- und Universitätsbibliothek Göttingen	1000001-
               	KNTGR	Graubünden	Kantonsbibliothek Graubünden	n/a
AT-UBMUG       	MEDUG	Graz	Bibliothek der Medizinischen Universität Graz	3001-5000
               	FHWGR	Graz	CAMPUS 02 Fachhochschule der Wirtschaft GmbH	n/a
AT-UBG-HB      	UBG	Graz	Karl-Franzens-Universität Graz	n/a
               	PHSTE	Graz	Pädagogische Hochschule Steiermark	n/a
AT-UBTUG-HB    	TUBG	Graz	Universitätsbibliothek der Technischen Universität Graz	n/a
               	FHJO	Graz - Kapfenberg - Bad Gleichenberg	FH JOANNEUM Gesellschaft mbH, Bibliothek	n/a
DE-9           	UBGRW	Greifswald	Universitätsbibliothek Greifswald	1000001-
DE-Haar1       	BCDHS	Haar	Isar-Amper-Klinikum, Klinikum München-Ost, Haar	10001-30000
DE-708         	FUH	Hagen	Universitätsbibliothek Hagen	300001-1000000
DE-Hag4        	MFHB	Hagen, Iserlohn, Meschede, Soest	Fachhochschule Südwestfalen, Hochschulbibliothek	30001-100000
DE-Ha118       	BGHAL	Halle	Berufsgenossenschaftliche Kliniken Bergmannstrost Halle, Medizinische Fachbibliothek	3001-5000
DE-Ha125       	KDHAL	Halle	Bibliothek Burg Giebichenstein Kunsthochschule Halle	30001-100000
DE-2575        	IAMO	Halle	Leibniz-Institut für Agrarentwicklung in Transformationsökonomien	30001-100000
DE-Ha93        	IPB	Halle	Leibniz-Institut für Pflanzenbiochemie	10001-30000
               	IWH	Halle	Leibniz-Institut für Wirtschaftsforschung Halle, IWH - Bibliothek	n/a
DE-Ha94        	MPIMS	Halle	Max-Planck-Institut für Mikrostrukturphysik, Halle	10001-30000
DE-Ha2         	DANL	Halle (Saale)	Bibliothek der Leopoldina, Halle (Saale)	100001-300000
DE-3           	ULBH	Halle (Saale)	Universitäts- und Landesbibliothek Sachsen-Anhalt	1000001-
DE-Ha163       	MPIEF	Halle/Saale	Max-Planck-Institut für Ethnologische Forschung, Halle	30001-100000
DE-1373        	HCUHH	Hamburg	Bibliothek der HafenCity Universität Hamburg	30001-100000
DE-18-26       	HFBK	Hamburg	Bibliothek der Hochschule für bildende Künste	10001-30000
DE-830         	TUHH	Hamburg	Bibliothek der Technischen Universität Hamburg	300001-1000000
DE-H357        	HIS	Hamburg	Bibliothek des Hamburger Instituts für Sozialforschung	30001-100000
DE-205         	HKHH	Hamburg	Commerzbibliothek der Handelskammer Hamburg	100001-300000
               	DESY	Hamburg	DESY-Bibliotheken Hamburg/Zeuthen	n/a
DE-H256        	FAB	Hamburg	Führungsakademie der Bundeswehr: Fachinformationsstelle / Bibliothek	100001-300000
DE-H221        	GIGA	Hamburg	GIGA German Institute of Global and Area Studies - Informationszentrum, Hamburg	100001-300000
DE-H155        	HLI	Hamburg	Hamburger Lehrerbibliothek	100001-300000
               	HAWHH	Hamburg	Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg	n/a
DE-H140        	BFAFI	Hamburg	Johann Heinrich von Thünen-Institut (vTI), Bereich Fischerei	30001-100000
DE-H105        	BFH	Hamburg	Johann Heinrich von Thünen-Institut, Bereich Wald	100001-300000
DE-B212        	MPIPR	Hamburg	Max-Planck-Institut für ausländisches und internationales Privatrecht, Hamburg	300001-1000000
               	MPIM	Hamburg	Max-Planck-Institut für Meteorologie, Hamburg	n/a
DE-18          	SUBHH	Hamburg	Staats- und Universitätsbibliothek Hamburg und Fachbibliotheken	1000001-
DE-705         	UBWH	Hamburg	UB der Helmut-Schmidt-Universität Hamburg	300001-1000000
DE-18-64       	UKE	Hamburg	Universitätsklinikum Hamburg-Eppendorf	100001-300000
DE-206H        	HWWA	Hamburg	ZBW - Leibniz-Informationszentrum Wirtschaft - Standort Hamburg	1000001-
               	BSH	Hamburg / Rostock	Bundesamt für Seeschifffahrt und Hydrographie / Bibliothek	n/a
               	HSHL	Hamm-Lippstadt	Hochschule Hamm-Lippstadt, Zentrum für Wissensmanagement	n/a
